RowNumber,CustomerId,Surname,credit_score,Geography,Gender,Age,loan_age_years,outstanding_loan_balance,num_bank_products,has_credit_card,online_banking_active,annual_income,churned,monthly_income,estimated_property_value,ltv_ratio,payment_to_income_ratio,risk_score,balance_per_product
1,15634602,Hargrave,619,France,Female,42,2,0.0,1,1,1,101348.88,1,8445.74,354721.08,0.0,0.0,0.168,0.0
2,15647311,Hill,608,Spain,Female,41,1,83807.86,1,0,1,112542.58,0,9378.548333333334,393899.03,0.21276482960620643,0.03723384518108612,0.2509996024361878,83807.86
3,15619304,Onio,502,France,Female,42,8,159660.8,3,1,0,113931.57,1,9494.2975,398760.495,0.40039272195205794,0.07006872634161014,0.3942293435790095,53220.26666666666
4,15701354,Boni,699,France,Female,39,1,0.0,2,0,0,93826.63,0,7818.885833333334,328393.205,0.0,0.0,0.10981818181818181,0.0
5,15737888,Mitchell,850,Spain,Female,43,2,125510.82,1,1,1,79084.1,0,6590.341666666667,276794.35000000003,0.4534442989894844,0.07935275232315978,0.15983911539379325,125510.82
6,15574012,Chu,645,Spain,Male,44,8,113755.78,2,1,0,149756.71,1,12479.725833333332,524148.485,0.21702968386906624,0.0379801946770866,0.22559387265475497,56877.89
7,15592531,Bartlett,822,France,Male,50,7,0.0,2,1,1,10062.8,0,838.5666666666666,35219.799999999996,0.0,0.0,0.020363636363636365,0.0
8,15656148,Obinna,376,Germany,Female,29,4,115046.74,4,1,0,119346.88,1,9945.573333333334,417714.08,0.2754198278401341,0.04819846987202347,0.44181276204092007,28761.685
9,15792365,He,501,France,Male,44,4,142051.07,2,0,1,74940.5,0,6245.041666666667,262291.75,0.5415765840900448,0.09477590221575785,0.44472392770992264,71025.535
10,15592389,H?,684,France,Male,27,2,134603.88,1,1,1,71725.73,0,5977.144166666666,251040.055,0.5361848729677821,0.09383235276936186,0.3097324404484159,134603.88
11,15767821,Bearce,528,France,Male,31,6,102016.72,2,0,0,80181.12,0,6681.759999999999,280633.92,0.36352241382652534,0.06361642241964194,0.36232346905566837,51008.36
